customerID,fecha_lote,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,BancoPago
RET-0012,2026-06-29,Female,0,No,No,27,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),46.58,1257.66,
RET-0013,2026-06-29,Male,1,No,No,38,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,59.52,2261.76,
RET-0014,2026-06-29,Female,1,Yes,Yes,29,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,92.41,2679.89,
RET-0015,2026-06-29,Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,67.74,1422.54,
RET-0016,2026-06-29,Female,0,Yes,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),76.94,461.64,
RET-0017,2026-06-29,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,52.55,0.0,
RET-0018,2026-06-29,Female,0,Yes,No,76,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),64.73,4919.48,
RET-0019,2026-06-29,Male,1,Yes,Yes,6,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),63.98,383.88,
RET-0020,2026-06-29,Male,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.6,4145.4,
RET-0021,2026-06-29,Male,0,Yes,Yes,21,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,18.25,383.25,
RET-0022,2026-06-29,Male,1,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,80.49,4024.5,
RET-0023,2026-06-29,Male,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,83.43,3170.34,
RET-0024,2026-06-29,Female,1,No,No,30,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,61.89,1856.7,
RET-0025,2026-06-29,Male,0,No,No,31,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),130.96,4059.76,
RET-0026,2026-06-29,Male,1,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,49.61,3026.21,
RET-0027,2026-06-29,Male,1,Yes,Yes,32,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),88.94,2846.08,
RET-0028,2026-06-29,Female,0,Yes,Yes,19,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),80.3,1525.7,
RET-0029,2026-06-29,Male,0,No,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.97,2395.47,
RET-0030,2026-06-29,Female,1,No,No,45,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,43.14,1941.3,
RET-0031,2026-06-29,Male,0,Yes,Yes,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.01,272.08,
RET-0032,2026-06-29,Male,0,No,No,38,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,66.21,2515.98,
RET-0033,2026-06-29,Female,0,No,Yes,50,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),18.25,912.5,
RET-0034,2026-06-29,Female,1,No,No,0,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,77.54,0.0,
RET-0035,2026-06-29,Male,0,No,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.55,1581.45,
RET-0036,2026-06-29,Female,0,Yes,Yes,0,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),50.36,0.0,
RET-0037,2026-06-29,Male,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),86.46,4928.22,
RET-0038,2026-06-29,Female,0,No,Yes,51,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,62.3,3177.3,
RET-0039,2026-06-29,Female,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,60.42,1027.14,
RET-0040,2026-06-29,Female,0,No,No,35,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.8,2933.0,
RET-0041,2026-06-29,Female,0,No,Yes,75,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),89.15,6686.25,
RET-0042,2026-06-29,Male,0,No,Yes,39,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.12,3241.68,
RET-0043,2026-06-29,Female,1,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),83.04,1079.52,
RET-0044,2026-06-29,Male,0,Yes,No,10,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.84,978.4,
RET-0045,2026-06-29,Male,0,Yes,Yes,30,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),98.33,2949.9,
RET-0046,2026-06-29,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,85.68,171.36,
RET-0047,2026-06-29,Female,0,Yes,No,16,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,89.78,1436.48,
RET-0048,2026-06-29,Male,0,No,Yes,50,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,52.51,2625.5,
RET-0049,2026-06-29,Female,1,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,94.8,379.2,
RET-0050,2026-06-29,Female,1,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,53.59,911.03,
RET-0051,2026-07-06,Female,1,Yes,No,46,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),40.41,1858.86,
RET-0052,2026-07-06,Female,1,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.74,1980.72,
RET-0053,2026-07-06,Female,0,No,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),90.17,3065.78,
RET-0054,2026-07-06,Female,0,Yes,No,55,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.62,5809.1,
RET-0055,2026-07-06,Female,0,Yes,Yes,30,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),95.88,2876.4,
RET-0056,2026-07-06,Male,0,No,Yes,35,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),90.05,3151.75,
RET-0057,2026-07-06,Female,1,Yes,No,33,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,57.56,1899.48,
RET-0058,2026-07-06,Male,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),50.25,1708.5,
RET-0059,2026-07-06,Female,1,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.21,2150.82,
RET-0060,2026-07-06,Female,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.34,3993.02,
RET-0061,2026-07-06,Male,1,Yes,Yes,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,80.06,1361.02,
RET-0062,2026-07-06,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),54.21,2276.82,
RET-0063,2026-07-06,Female,1,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,89.75,807.75,
RET-0064,2026-07-06,Female,1,No,Yes,41,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),32.34,1325.94,
RET-0065,2026-07-06,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,61.83,432.81,
RET-0066,2026-07-06,Female,1,Yes,No,45,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,41.44,1864.8,
RET-0067,2026-07-06,Female,1,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,57.02,912.32,
RET-0068,2026-07-06,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,73.28,2491.52,
RET-0069,2026-07-06,Female,0,No,Yes,26,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Mailed check,110.62,2876.12,
RET-0070,2026-07-06,Female,0,No,Yes,70,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),29.1,2037.0,
RET-0071,2026-07-06,Female,1,Yes,No,16,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,94.77,1516.32,
RET-0072,2026-07-06,Male,1,Yes,Yes,41,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,80.71,3309.11,
RET-0073,2026-07-06,Female,0,No,No,69,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),52.18,3600.42,
RET-0074,2026-07-06,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),61.02,4271.4,
RET-0075,2026-07-06,Male,1,Yes,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.21,864.2,
RET-0076,2026-07-06,Female,0,No,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,69.39,2359.26,
RET-0077,2026-07-06,Female,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,50.09,1552.79,
RET-0078,2026-07-06,Female,0,No,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.45,999.05,
RET-0079,2026-07-06,Female,0,Yes,Yes,45,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),48.94,2202.3,
RET-0080,2026-07-06,Female,0,No,Yes,56,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,105.66,5916.96,
RET-0081,2026-07-06,Female,0,Yes,Yes,26,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,43.49,1130.74,
RET-0082,2026-07-06,Male,0,No,No,0,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,99.84,0.0,
RET-0083,2026-07-06,Male,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,73.24,2636.64,
RET-0084,2026-07-06,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),47.63,0.0,
RET-0085,2026-07-06,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,64.13,1923.9,
RET-0086,2026-07-06,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,73.3,4471.3,
RET-0087,2026-07-06,Male,0,Yes,No,66,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,54.79,3616.14,
RET-0088,2026-07-06,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),87.79,3336.02,
RET-0089,2026-07-06,Male,1,Yes,No,10,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),124.64,1246.4,
RET-0090,2026-07-06,Male,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),63.77,3316.04,
RET-0091,2026-07-06,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,99.71,1695.07,
RET-0092,2026-07-06,Male,1,Yes,No,29,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),43.69,1267.01,
RET-0093,2026-07-06,Female,1,No,No,23,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,22.52,sin dato,
RET-0094,2026-07-06,Female,0,No,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,894.25,
RET-0095,2026-07-06,Female,0,Yes,No,36,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),102.08,3674.88,
RET-0096,2026-07-13,Male,0,No,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,87.92,4308.08,
RET-0097,2026-07-13,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),109.05,3816.75,
RET-0098,2026-07-13,Female,0,No,Yes,62,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,32.17,1994.54,
RET-0099,2026-07-13,Male,0,No,Yes,0,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),51.12,0.0,
RET-0100,2026-07-13,Female,0,Yes,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),91.78,5873.92,
RET-0101,2026-07-13,Male,1,Yes,No,35,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),78.36,2742.6,
RET-0102,2026-07-13,Male,0,No,No,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,65.34,588.06,
RET-0103,2026-07-13,Female,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,22.88,915.2,
RET-0104,2026-07-13,Male,0,Yes,Yes,17,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,18.25,310.25,
RET-0105,2026-07-13,Female,1,No,No,28,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),66.11,1851.08,
RET-0106,2026-07-13,Female,0,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),47.05,658.7,
RET-0107,2026-07-13,Male,0,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),86.85,5818.95,
RET-0108,2026-07-13,Female,0,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.19,899.04,
RET-0109,2026-07-13,Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.19,881.65,
RET-0110,2026-07-13,Female,0,Yes,No,27,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,102.4,2764.8,
RET-0111,2026-07-13,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),39.28,1021.28,
RET-0112,2026-07-13,Female,0,Yes,No,23,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,73.47,1689.81,
RET-0113,2026-07-13,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,90.68,2448.36,
RET-0114,2026-07-13,Male,0,No,Yes,67,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Mailed check,18.25,,
RET-0115,2026-07-13,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,60.36,905.4,
RET-0116,2026-07-13,Male,0,Yes,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,68.44,3422.0,
RET-0117,2026-07-13,Male,1,Yes,No,52,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),98.97,5146.44,
RET-0118,2026-07-13,Female,0,Yes,Yes,41,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.81,3313.21,
RET-0119,2026-07-13,Male,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,113.24,6567.92,
RET-0120,2026-07-13,Male,0,Yes,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,75.27,3387.15,
RET-0121,2026-07-13,Male,0,Yes,Yes,47,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),91.87,4317.89,
RET-0122,2026-07-13,Female,0,No,Yes,26,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),80.01,2080.26,
RET-0123,2026-07-13,Male,1,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.38,0.0,
RET-0124,2026-07-13,Female,1,No,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,97.03,5627.74,
RET-0125,2026-07-13,Female,0,Yes,No,32,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,74.32,2378.24,
RET-0126,2026-07-13,Male,0,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.14,393.96,
RET-0127,2026-07-13,Male,0,Yes,No,57,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),69.96,3987.72,
RET-0128,2026-07-13,Male,1,No,Yes,51,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),36.94,1883.94,
RET-0129,2026-07-13,Female,0,Yes,No,44,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),104.96,4618.24,
RET-0130,2026-07-13,Female,0,No,Yes,32,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,41.99,1343.68,
RET-0131,2026-07-13,Female,0,Yes,Yes,12,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),69.49,833.88,
RET-0132,2026-07-13,Male,0,No,No,51,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,86.0,4386.0,
RET-0133,2026-07-13,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),51.74,776.1,
RET-0134,2026-07-13,Female,0,Yes,No,28,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,25.97,727.16,
RET-0135,2026-07-13,Female,0,Yes,No,61,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),90.84,5541.24,
RET-0136,2026-07-13,Female,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,101.15,303.45,
RET-0137,2026-07-13,Female,1,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.21,1686.03,
RET-0138,2026-07-13,Female,0,No,No,29,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),64.44,1868.76,
RET-0139,2026-07-13,Male,1,No,Yes,36,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),66.1,2379.6,
RET-0140,2026-07-13,Male,0,No,Yes,30,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,59.49,1784.7,
RET-0141,2026-07-13,Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),49.01,931.19,
RET-0142,2026-07-13,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,584.0,
RET-0143,2026-07-13,Male,1,No,Yes,29,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),47.08,1365.32,
RET-0144,2026-07-13,Male,0,No,Yes,20,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),51.79,1035.8,
RET-0145,2026-07-13,Female,0,No,Yes,30,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.98,1739.4,
RET-0146,2026-07-13,Male,0,No,Yes,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,92.21,2581.88,
RET-0147,2026-07-13,Female,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,94.58,4066.94,
RET-0148,2026-07-13,Male,0,Yes,Yes,58,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),54.71,3173.18,
RET-0149,2026-07-13,Female,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),67.11,2348.85,
RET-0150,2026-07-13,Male,1,No,No,30,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),54.91,1647.3,
RET-0151,2026-07-13,Male,0,No,Yes,21,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.29,1770.09,
RET-0152,2026-07-13,Male,0,Yes,Yes,32,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,18.25,584.0,
RET-0153,2026-07-13,Male,0,No,No,42,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,94.59,3972.78,
RET-0154,2026-07-13,Male,1,No,Yes,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,18.25,766.5,
RET-0155,2026-07-13,Male,1,No,Yes,66,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),58.53,3862.98,
RET-0156,2026-07-13,Male,0,Yes,No,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),84.03,0.0,
RET-0157,2026-07-13,Male,1,Yes,No,13,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,33.89,440.57,
RET-0158,2026-07-13,Female,1,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,18.25,91.25,
RET-0159,2026-07-13,Male,0,Yes,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,75.41,1960.66,
RET-0160,2026-07-13,Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,96.04,1248.52,
RET-0161,2026-07-13,Male,0,No,Yes,31,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,105.49,3270.19,
RET-0162,2026-07-13,Female,0,No,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,72.12,3029.04,
RET-0163,2026-07-13,Female,0,Yes,Yes,0,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,109.04,0.0,
